Recipient Balochi BantuKenya BantuSouthAfrica Druze EastSicilian English Hadza Han Ireland Japanese Makrani Mandenka Maya Naxi Russian Sardinian Saudi Scottish She Sindhi Surui Syrian Turkish UAE Uygur Yemeni
Han22 7.718 1.812 1.207 12.931 3.703 1.882 0.840 68.707 1.986 45.694 9.074 3.338 14.826 13.913 9.457 8.386 2.926 1.636 16.812 11.064 5.273 4.926 7.514 2.870 9.149 0.977
Han23 7.471 1.911 1.349 11.862 2.977 2.078 0.356 68.318 1.973 48.634 7.268 3.655 13.736 15.258 10.291 7.409 3.290 2.060 19.839 10.537 4.912 5.357 6.394 3.219 7.490 0.979
Han24 7.195 1.783 1.091 10.968 2.790 1.948 0.399 66.461 2.796 45.043 7.487 2.876 12.130 16.413 9.619 8.239 3.044 1.838 24.195 9.668 5.401 4.871 6.445 3.043 11.722 1.157
Han25 8.909 1.517 1.113 14.724 2.838 1.691 0.486 63.778 2.132 48.838 7.654 2.573 15.452 13.677 8.672 8.140 2.937 1.652 18.423 10.300 5.799 5.852 7.191 2.815 10.298 1.159
Han26 8.221 1.822 1.311 12.124 3.355 1.599 0.432 65.953 2.008 45.078 7.678 3.426 15.666 13.673 9.338 8.313 2.610 1.639 21.065 10.609 5.212 6.110 8.030 3.179 9.003 1.167
Han27 8.257 2.315 1.032 12.293 3.149 1.984 0.509 68.250 2.267 45.762 7.591 3.343 15.395 12.832 10.419 7.796 3.097 1.478 18.632 9.648 5.563 6.487 7.100 2.629 9.803 0.990
Han28 9.070 1.954 1.206 12.964 3.424 2.215 0.360 65.527 2.158 44.769 9.820 3.647 14.605 14.644 10.281 8.040 3.895 2.264 16.115 10.889 6.100 5.622 7.387 3.126 7.555 0.986
Han29 8.244 1.861 0.931 12.203 3.777 1.817 0.461 69.696 1.942 48.839 7.397 3.108 15.606 13.155 8.698 7.861 2.376 1.985 18.344 10.057 5.452 4.575 6.466 2.939 9.646 1.189
Han30 7.545 1.698 1.206 11.604 3.171 2.005 0.467 66.835 2.499 45.293 7.901 3.810 14.255 16.547 9.600 7.904 2.636 2.212 20.912 9.890 4.199 5.557 6.383 2.626 10.486 1.382
Han31 9.266 1.941 1.080 13.191 3.329 1.870 0.525 65.732 1.840 45.882 8.809 4.370 15.461 13.264 10.072 8.093 2.978 1.843 21.414 8.468 5.718 5.584 6.349 3.087 7.345 1.113
Han32 7.944 1.424 1.184 11.629 2.633 2.054 0.392 67.926 2.010 50.234 7.169 3.026 14.621 14.192 10.572 7.984 3.387 1.612 17.586 9.844 5.650 5.042 6.284 3.700 9.211 1.313
Han33 8.859 1.816 1.041 13.404 3.022 1.974 0.441 63.345 2.202 45.375 8.183 3.205 16.304 13.691 11.695 8.000 3.537 1.816 16.593 10.857 5.259 5.657 7.768 2.713 9.787 2.078
Han34 8.447 1.732 1.238 11.967 3.286 1.694 0.390 57.794 2.846 43.693 9.199 4.307 17.824 14.248 11.446 9.030 3.169 1.970 22.417 10.036 5.097 5.459 6.434 2.934 11.021 0.943
Ireland1 15.103 1.439 1.083 30.588 10.971 8.720 0.471 10.149 11.479 8.792 14.367 2.806 8.493 2.388 33.280 35.721 6.803 7.725 3.015 12.382 2.956 11.783 13.434 6.570 5.909 2.193
Ireland2 14.471 1.748 1.137 32.612 9.622 10.046 0.381 8.521 7.859 7.610 15.773 2.944 8.585 2.673 33.249 33.465 7.418 7.212 3.978 16.293 2.195 12.904 15.635 5.392 5.220 1.680
Ireland3 12.293 1.812 0.870 30.696 9.386 10.217 0.379 10.238 17.430 9.067 13.668 4.329 6.847 2.241 30.574 30.887 6.110 8.980 3.312 16.527 2.364 10.297 14.932 3.879 9.809 1.479
Ireland4 13.975 1.422 0.818 31.086 12.132 9.710 0.580 9.949 9.077 7.847 13.478 2.711 8.791 2.133 38.062 28.608 6.736 10.035 3.438 14.509 2.984 10.714 16.115 4.821 7.133 1.761
Ireland5 16.557 1.931 0.915 30.356 10.462 7.772 0.369 9.712 16.963 7.455 13.193 2.624 9.064 2.341 26.143 35.088 6.377 9.427 2.566 15.530 2.145 12.532 13.847 7.043 6.693 1.521
Ireland6 14.340 1.458 0.957 29.330 13.693 10.348 0.431 10.994 10.362 8.452 15.183 2.458 8.950 2.092 30.357 28.619 5.904 13.768 2.774 14.957 3.718 11.375 14.743 5.270 6.019 2.071
Ireland7 16.861 1.485 1.297 31.720 10.470 12.457 0.382 9.000 11.461 7.561 16.546 3.443 8.085 2.061 35.573 28.848 5.190 7.511 2.757 14.637 2.611 10.452 15.753 4.857 5.781 1.825
Japanese1 8.336 1.379 1.365 11.653 3.284 1.801 0.509 51.433 2.315 79.904 7.153 3.274 13.068 9.681 10.063 7.262 2.859 1.768 14.666 8.211 4.782 5.974 6.725 2.568 7.325 1.267
Japanese2 8.373 1.634 0.960 11.803 2.885 2.071 0.391 50.957 2.153 75.741 7.027 3.639 14.210 8.406 9.802 7.578 2.946 1.836 14.030 8.570 6.589 4.603 6.187 2.559 12.527 1.145
Japanese3 8.370 1.611 1.063 12.196 3.215 2.134 0.347 55.631 1.882 68.060 7.528 3.238 16.719 11.049 9.408 8.588 2.566 1.812 14.264 9.479 4.580 5.233 6.489 2.537 9.549 1.076
Japanese4 8.442 1.963 1.218 12.519 2.876 1.848 0.368 48.856 1.923 69.102 7.392 3.962 14.761 16.781 10.299 8.394 2.675 1.662 15.348 9.648 5.522 4.659 6.577 2.656 8.044 1.125
Japanese5 8.376 1.452 0.977 11.441 2.990 1.664 0.537 53.182 2.227 70.629 7.504 2.865 14.728 11.966 9.965 8.030 3.001 1.621 16.254 9.588 3.949 5.555 7.242 2.375 8.996 1.511
Japanese6 8.220 1.502 0.974 13.459 3.204 2.170 0.423 51.168 1.981 71.268 7.350 3.785 13.670 12.470 10.917 8.575 3.105 2.093 10.540 10.726 4.656 5.264 6.620 3.974 9.340 1.169
Japanese7 7.686 1.597 1.129 13.414 3.208 2.076 0.377 54.527 2.494 69.185 9.378 3.456 15.202 10.962 9.709 8.349 2.932 1.604 14.262 8.907 4.725 5.955 5.794 2.845 7.444 1.406
Japanese8 7.488 1.551 1.022 12.760 2.910 1.834 0.322 52.222 2.945 75.587 7.656 3.076 14.111 11.239 9.820 8.972 3.447 1.744 13.395 9.003 4.371 5.526 5.738 2.738 8.147 0.997
Japanese9 7.897 1.728 1.348 12.291 3.028 2.041 0.365 53.730 2.279 66.962 7.576 3.225 15.807 10.808 10.615 9.608 3.407 1.838 13.009 9.317 5.792 5.413 7.249 2.955 8.810 1.523
Japanese10 7.725 1.422 1.188 11.494 3.805 1.527 0.441 58.846 1.875 65.712 8.146 3.467 15.500 12.819 9.714 7.926 3.610 2.020 13.759 8.182 5.232 4.766 6.272 2.723 9.319 1.134
Japanese11 7.494 1.524 1.117 12.359 3.006 1.793 0.532 49.117 2.770 72.868 8.144 3.361 18.069 10.304 10.681 8.928 2.483 1.762 12.782 8.799 5.580 4.992 5.706 3.549 9.479 1.423
Japanese12 7.310 1.698 1.423 11.880 3.205 1.593 0.455 50.464 2.186 79.819 6.319 3.388 14.380 12.817 10.428 7.515 3.507 1.376 12.714 8.358 4.833 4.742 7.875 2.198 7.351 0.789
Japanese13 7.674 1.500 1.364 12.208 2.893 1.826 0.404 51.160 2.080 70.667 8.605 4.095 14.291 12.264 8.747 9.223 2.832 1.922 12.664 8.909 4.313 6.127 6.931 2.702 12.213 1.009
Japanese14 8.159 1.879 0.997 13.192 3.102 1.904 0.501 53.754 1.955 72.041 8.471 3.601 15.428 12.092 9.421 8.215 2.443 1.825 11.925 9.560 4.774 5.469 6.162 3.000 7.703 1.051
Japanese15 8.996 1.583 1.164 13.061 2.736 1.594 0.391 50.486 2.428 67.669 8.818 2.926 17.409 11.864 9.418 8.068 3.156 1.833 15.970 9.683 4.517 5.320 6.732 2.923 8.843 1.032
Japanese16 7.986 1.647 1.141 11.078 2.671 2.365 0.485 61.551 1.815 62.576 7.507 3.231 15.585 11.635 10.339 8.020 2.726 1.612 17.011 8.004 5.076 4.738 7.358 3.060 8.466 0.939
Japanese17 8.631 1.804 1.045 11.790 3.686 2.291 0.495 53.669 1.941 63.397 8.180 3.539 15.293 11.011 10.711 6.989 3.364 2.258 17.436 9.351 4.807 5.332 7.531 2.997 9.702 1.376
Japanese18 8.071 1.734 1.054 11.510 2.791 1.897 0.430 46.718 2.038 75.740 8.342 3.297 14.546 11.963 10.480 8.917 3.664 1.755 16.369 9.832 4.327 5.112 6.967 2.572 7.014 1.485
Japanese19 7.433 2.528 0.792 10.632 2.468 1.591 0.347 57.553 2.204 72.934 7.865 3.560 15.858 9.225 9.407 8.863 2.367 1.526 15.611 8.887 4.903 4.854 6.457 2.181 7.586 0.990
Japanese20 7.506 1.449 1.334 12.048 3.456 2.146 0.312 56.762 2.064 62.495 7.862 3.465 18.485 13.206 11.773 8.136 3.456 1.568 11.848 8.532 5.812 4.627 8.395 2.030 9.004 0.853
Japanese21 8.963 1.490 1.221 13.397 3.338 1.852 0.553 53.325 1.797 72.756 7.514 3.599 16.438 9.361 8.600 7.540 2.756 1.867 13.614 8.327 5.286 5.635 5.336 3.266 9.731 1.061
Japanese22 7.495 1.782 1.241 12.171 2.806 2.001 0.501 56.230 2.202 61.560 8.958 3.742 14.481 11.213 10.462 8.037 2.478 2.347 17.791 9.528 6.052 4.861 6.229 2.115 11.022 1.316
Japanese23 6.524 1.301 1.099 10.292 2.427 1.529 0.356 59.804 1.938 73.435 6.807 2.953 17.238 12.775 9.949 7.516 2.461 1.932 11.919 8.405 5.048 4.370 5.663 2.406 9.522 0.955
Japanese24 8.826 1.493 1.338 12.220 2.564 1.698 0.373 50.779 2.181 74.667 7.863 2.923 15.255 11.731 8.961 7.905 2.774 1.892 14.639 9.845 4.744 4.965 6.235 2.782 8.487 1.483
Japanese25 6.919 2.304 1.250 12.482 3.162 1.687 0.502 56.095 1.993 68.380 7.696 3.199 15.614 10.833 9.163 7.994 3.234 1.423 14.600 10.047 3.884 5.017 6.670 2.628 10.822 1.025
Japanese26 8.392 1.349 1.130 12.193 2.936 1.877 0.350 50.167 2.151 78.399 8.327 3.370 15.448 9.684 7.976 8.536 2.785 2.203 12.392 9.844 4.518 4.580 5.907 3.174 10.051 0.884
Japanese27 7.965 1.557 1.057 12.040 3.066 1.869 0.471 59.860 2.192 66.294 7.783 3.019 15.089 10.414 10.268 8.102 3.397 1.907 12.867 9.689 4.891 6.136 6.437 2.714 8.387 1.151
Japanese28 6.751 2.114 1.264 12.878 3.581 1.916 0.365 52.241 2.276 76.556 6.845 3.258 17.559 8.597 9.954 7.361 2.776 1.748 13.540 8.656 4.167 5.673 6.630 2.610 8.285 1.020
Makrani1 32.567 2.174 1.548 24.172 8.049 3.821 0.599 13.408 6.135 11.540 27.306 4.270 8.374 2.566 15.686 16.985 6.761 4.362 3.631 30.849 3.484 10.503 11.882 6.899 9.133 1.921
Makrani2 32.050 4.654 4.150 24.133 6.384 2.675 0.916 11.661 4.649 8.764 53.410 6.559 6.369 2.661 15.349 14.605 6.352 3.796 3.312 24.411 1.913 6.913 8.792 6.407 5.527 2.212
Makrani3 35.040 5.432 3.331 22.546 7.208 3.072 1.290 9.712 4.896 7.644 67.187 6.672 6.212 2.244 11.417 14.356 5.734 2.393 2.546 15.184 2.119 12.629 8.278 5.150 4.747 1.582
Makrani4 31.472 2.529 2.707 26.414 6.497 7.282 0.489 11.957 5.709 9.111 33.897 5.075 8.756 2.826 17.139 16.867 7.943 4.385 2.810 23.602 2.902 11.718 11.761 6.309 6.068 2.396
Makrani5 28.442 4.313 3.018 26.421 6.961 4.527 0.855 11.258 4.489 10.292 46.863 4.926 6.895 3.295 16.675 18.251 7.690 3.967 3.928 15.680 2.688 11.068 11.179 6.762 6.097 2.085
Makrani6 47.455 2.985 1.789 26.721 6.613 3.094 0.726 10.361 4.844 8.882 36.396 6.147 7.156 2.228 17.796 16.913 6.044 3.292 3.018 22.819 2.136 8.796 9.610 6.543 4.373 1.886
Makrani7 30.470 1.974 2.074 32.704 6.088 4.918 0.484 13.811 4.977 9.723 33.806 3.815 9.017 3.071 18.893 17.972 5.299 3.477 3.446 24.023 2.904 11.228 12.101 4.357 5.966 2.026
Makrani8 35.167 3.173 1.551 25.787 5.248 3.235 0.461 10.331 4.188 8.797 44.268 5.342 8.252 2.374 19.111 13.501 4.361 3.324 2.814 25.434 2.417 11.428 13.257 7.399 5.554 1.849
Makrani9 37.184 1.544 2.207 23.096 6.440 4.022 0.509 13.529 4.160 11.055 43.292 3.531 9.005 2.796 14.762 15.201 6.256 8.117 3.796 21.589 2.782 10.754 9.405 5.489 6.435 1.666
Makrani10 45.253 2.103 1.158 25.962 7.139 3.265 0.755 9.764 5.086 7.962 32.290 3.411 9.006 2.336 16.523 14.257 8.384 4.216 4.030 23.651 3.036 10.240 12.441 6.609 7.391 2.357
Makrani11 24.009 5.138 2.783 26.725 5.587 3.355 0.696 9.845 5.208 9.293 57.336 7.503 8.017 2.546 13.319 17.856 5.034 2.642 2.695 25.184 2.285 9.573 9.774 4.807 4.175 3.237
Makrani12 27.379 1.621 1.948 29.596 6.484 4.599 0.722 12.809 5.447 11.181 31.666 3.820 8.088 4.008 19.094 19.415 9.671 4.052 3.617 24.892 2.563 12.048 10.519 6.342 5.211 1.831
Makrani13 30.223 5.088 4.016 27.767 5.227 3.314 1.129 10.677 6.673 9.621 39.679 7.933 9.072 2.231 16.832 15.141 6.078 5.351 2.819 17.898 2.135 10.478 13.272 6.536 7.200 2.236
Makrani14 25.637 4.736 1.518 23.181 5.358 5.777 1.014 13.274 3.818 10.231 58.970 6.613 7.036 2.443 16.908 14.064 6.166 4.952 4.001 18.100 2.577 10.329 9.815 5.565 4.905 1.634
Makrani15 25.756 4.159 2.419 26.271 5.039 3.697 0.674 8.658 3.946 8.131 75.534 4.695 6.362 2.067 15.539 13.753 4.511 3.948 2.362 18.583 1.982 7.613 7.671 4.991 6.495 3.768
Makrani16 40.858 4.100 5.972 21.316 6.163 4.663 1.717 11.286 4.950 10.281 41.707 5.861 5.292 2.532 14.491 14.473 5.482 2.332 3.047 26.948 1.819 9.351 9.908 5.689 6.285 2.103
Makrani17 29.281 2.847 2.068 19.499 6.132 2.334 0.449 9.233 3.154 6.290 99.822 5.101 5.104 1.665 10.132 12.542 3.810 2.782 2.180 15.734 1.568 8.955 8.774 4.265 3.390 1.510
Makrani18 51.478 4.158 1.870 20.000 4.894 3.031 0.606 9.357 5.356 7.955 54.801 5.920 6.534 3.173 17.035 14.477 5.550 3.419 2.454 13.723 1.919 8.676 9.756 6.105 5.229 1.147
Makrani19 22.934 3.851 1.234 20.561 5.920 2.271 0.499 7.312 3.561 7.183 91.860 3.813 6.850 2.278 13.589 13.812 7.891 2.223 2.193 18.424 1.765 8.573 7.643 5.793 4.778 1.811
Makrani20 28.456 3.364 1.458 26.980 7.653 4.672 0.582 11.210 4.610 11.369 43.326 4.172 8.081 2.904 17.578 17.269 7.136 3.941 3.829 19.888 2.778 10.465 12.341 7.732 5.029 1.800
Makrani21 42.717 1.598 0.992 25.978 5.320 4.993 0.594 11.247 4.766 11.775 37.550 3.476 7.868 3.670 18.248 16.782 5.891 3.963 4.084 19.370 2.825 10.577 8.942 6.647 7.034 1.715
Makrani22 31.568 4.241 3.078 27.394 5.026 3.326 0.607 10.207 5.264 8.019 47.129 8.547 8.348 2.474 18.765 13.881 6.349 3.772 3.681 20.445 3.312 11.404 9.886 4.892 5.121 1.888
Mandenka1 4.758 25.925 23.597 9.671 2.344 0.997 3.478 6.638 1.470 5.473 8.131 131.109 4.642 1.747 4.595 5.348 2.952 0.976 1.975 4.658 1.427 4.883 3.308 4.384 1.912 2.226
Mandenka2 4.346 29.565 21.121 11.987 2.216 1.149 5.262 7.408 1.283 5.834 6.576 120.003 5.122 1.671 5.690 7.621 3.887 1.268 2.029 5.231 1.341 5.319 3.885 3.581 2.137 3.091
Mandenka3 5.230 31.617 25.405 12.450 2.575 1.346 5.269 8.158 1.234 6.712 7.149 110.305 4.252 1.871 4.918 6.591 4.211 1.476 2.654 5.732 1.471 4.790 3.905 5.222 1.872 2.206
Mandenka4 5.310 26.277 19.634 10.045 2.751 1.264 3.012 6.849 1.205 5.662 5.827 134.999 4.661 1.447 5.103 6.276 3.354 1.217 2.010 5.148 1.190 3.650 3.862 4.135 2.071 1.662
Mandenka5 3.230 20.885 17.437 7.457 1.559 0.843 4.352 4.772 0.942 3.857 4.487 165.278 3.843 1.072 3.771 4.984 2.063 0.744 1.644 4.015 1.047 2.645 2.725 2.305 1.326 1.338
Mandenka6 5.087 30.027 25.108 11.460 2.736 1.614 5.466 6.816 1.208 5.757 6.567 115.780 4.557 2.112 4.764 7.305 4.031 1.213 1.946 5.897 1.183 4.955 4.175 3.886 2.121 2.852
Mandenka7 4.892 29.320 20.523 12.676 2.916 1.756 2.765 6.920 1.574 6.112 8.119 118.252 3.587 1.823 5.222 7.423 4.963 1.563 2.068 6.017 1.891 4.954 4.257 5.139 2.088 1.803
Mandenka8 5.034 34.583 22.606 10.931 3.455 1.584 4.435 7.563 1.583 6.764 7.226 110.821 5.322 1.748 5.256 6.122 3.400 1.587 2.587 6.037 1.588 4.289 4.148 4.847 2.488 2.620
Mandenka9 5.093 25.513 22.609 10.359 2.785 1.465 4.268 8.380 1.402 5.795 7.078 122.616 4.960 1.758 5.282 6.301 3.507 1.366 1.988 6.633 1.642 4.793 3.983 5.045 2.093 1.910
Mandenka10 4.736 28.733 24.439 11.383 2.454 1.269 3.375 7.617 1.280 6.628 6.811 113.928 4.562 1.858 5.523 7.802 4.923 1.097 2.164 5.624 1.567 6.735 3.945 4.769 2.258 3.141
Mandenka11 5.282 32.033 16.243 12.803 2.533 1.278 3.983 8.574 1.605 6.105 7.144 119.892 4.902 1.591 5.152 6.921 3.684 1.196 2.373 5.725 1.280 4.957 3.907 3.897 2.573 2.991
Mandenka12 6.457 27.244 22.528 12.286 3.981 1.220 4.214 6.910 1.575 6.336 8.264 113.648 4.481 1.579 5.649 7.292 4.273 1.489 1.967 6.973 1.435 4.718 3.912 5.061 2.415 2.716
Mandenka13 5.101 29.566 23.560 11.089 2.994 1.434 2.372 7.753 1.975 7.311 7.077 114.930 4.528 1.973 5.612 6.291 4.202 1.531 2.880 5.938 1.341 5.582 4.342 3.898 2.762 2.581
Mandenka14 7.190 36.841 25.957 12.844 3.914 1.651 4.040 8.377 1.786 6.864 6.812 94.132 5.649 1.661 5.814 8.141 4.973 1.471 2.265 6.759 1.595 5.028 5.021 3.963 2.557 3.322
Mandenka15 5.012 23.990 21.107 10.070 3.247 1.063 6.284 7.524 1.037 5.732 5.902 132.898 3.985 1.545 4.494 5.422 3.068 1.238 2.275 5.951 1.204 4.273 3.787 3.300 2.175 2.039
Mandenka16 3.987 24.457 16.647 9.532 2.266 1.044 2.434 5.251 1.040 4.317 5.693 152.799 3.598 1.627 3.689 5.013 3.498 0.976 1.896 4.243 1.115 4.097 3.044 2.845 1.573 1.940
Mandenka17 3.103 19.054 13.933 7.474 2.069 0.695 2.826 4.827 1.034 4.583 5.065 168.321 3.743 1.122 3.753 4.446 2.859 0.892 1.456 3.829 1.023 3.382 2.453 2.937 1.916 1.829
Mandenka18 4.893 29.273 20.564 11.169 2.338 1.672 3.522 7.635 1.387 7.690 5.770 122.263 4.900 1.915 5.602 5.748 3.852 1.234 2.173 6.811 1.638 4.008 3.630 4.066 2.547 2.323
Mandenka19 4.878 30.247 22.067 10.332 2.258 1.025 2.808 6.770 1.713 5.339 8.987 122.212 4.189 1.972 5.214 6.934 2.829 2.262 2.130 6.648 1.256 3.991 4.197 3.696 2.202 2.463
Mandenka20 4.809 33.285 28.626 11.542 2.537 1.206 4.249 7.687 1.449 6.960 7.560 109.825 5.050 1.784 5.054 5.853 3.788 1.156 2.549 5.335 1.425 4.353 3.557 4.403 2.059 2.520
Mandenka21 4.982 30.996 15.753 9.711 3.256 1.233 4.201 6.637 1.713 5.005 5.182 133.788 3.935 1.495 5.098 6.288 3.861 1.547 2.088 5.383 1.518 3.814 3.426 2.999 2.726 1.987
Mandenka22 5.982 36.186 28.724 12.406 2.287 1.536 5.368 7.402 1.734 7.034 8.660 92.555 5.191 2.286 5.482 7.613 4.582 1.355 2.499 6.821 1.549 5.783 4.516 4.885 2.908 3.278
Maya1 5.866 0.864 0.538 10.692 2.725 2.294 0.234 16.069 4.503 14.451 6.034 2.061 124.789 3.062 11.102 7.297 3.054 1.956 4.245 7.188 22.761 4.228 4.593 2.024 5.088 0.904
Maya2 6.599 0.989 0.774 9.585 2.671 1.519 0.281 18.647 2.041 16.943 5.892 1.921 124.144 3.691 8.854 5.302 1.882 1.471 4.423 5.966 25.789 4.129 6.746 1.724 5.829 0.809
Maya3 5.072 1.015 0.810 9.606 2.064 1.558 0.207 19.050 1.563 16.571 6.067 1.933 127.151 4.066 8.019 6.280 2.099 1.546 5.793 6.098 25.028 4.676 4.523 1.760 5.172 0.897
Maya4 5.808 1.172 0.653 9.996 2.114 1.906 0.239 15.740 1.691 14.645 7.856 2.043 128.395 2.839 8.216 5.811 2.013 1.906 4.222 6.853 28.147 4.691 4.791 1.786 4.191 0.900
Maya5 5.658 0.786 0.550 8.924 2.562 1.874 0.362 14.039 1.728 12.036 6.457 1.676 142.202 4.552 8.311 7.763 1.912 1.367 4.141 7.154 18.655 3.448 5.325 1.892 4.588 0.662
Maya6 5.880 0.629 0.500 8.076 2.553 1.803 0.181 10.747 1.936 9.796 4.046 1.301 164.712 2.034 6.919 5.905 1.841 1.187 2.796 5.041 17.777 3.179 3.841 1.710 3.629 0.604
Maya7 8.804 1.476 1.097 22.346 6.586 3.465 0.709 13.043 5.736 14.465 9.311 3.449 63.523 4.627 20.243 18.185 3.897 4.061 4.428 12.420 18.082 9.164 8.999 3.791 5.258 1.458
Maya8 6.064 4.852 2.875 8.810 2.048 1.422 2.146 13.558 1.565 13.530 5.004 11.437 122.904 3.391 9.602 6.682 2.423 1.722 4.453 6.108 21.935 3.888 4.995 2.422 3.403 1.383
Maya9 4.371 1.093 0.548 7.005 1.902 1.569 0.282 14.781 2.075 12.985 4.989 1.965 151.285 3.357 6.618 4.939 1.569 1.254 4.118 6.346 21.762 3.386 4.142 1.482 4.027 0.771
Maya10 6.276 1.519 1.186 11.846 3.522 2.720 0.488 13.602 3.627 12.784 6.063 3.497 125.015 2.811 9.291 8.303 2.042 2.145 3.558 9.117 20.049 5.097 5.482 2.582 4.874 1.125
Maya11 5.982 1.197 0.738 8.814 2.364 1.205 0.296 18.410 2.107 13.772 5.702 1.979 128.411 3.219 9.248 5.739 2.157 1.662 4.884 6.440 28.367 3.443 4.921 1.872 4.662 1.032
Maya12 3.662 0.671 0.560 6.045 1.465 1.330 0.183 11.421 0.854 8.133 2.696 1.437 176.731 1.968 5.011 3.695 1.326 0.792 3.196 3.654 22.858 2.491 2.901 2.105 3.024 0.413
Maya13 5.159 1.100 0.675 10.488 2.107 1.343 0.239 12.921 1.491 9.885 4.975 2.323 149.795 2.772 7.121 5.798 1.887 1.564 3.374 6.125 21.551 4.077 5.119 1.722 4.408 0.605
Maya14 5.427 0.808 0.600 8.826 2.072 1.539 0.268 13.758 1.968 14.760 5.792 1.872 138.563 3.696 7.944 5.574 1.541 1.465 4.141 6.832 24.343 5.195 4.114 2.745 3.993 0.788
Maya15 5.476 0.892 0.653 9.793 3.343 1.999 0.319 18.734 2.038 16.520 6.024 1.770 119.994 3.365 8.275 5.595 2.083 1.652 5.427 7.394 30.743 3.937 4.747 1.727 5.262 0.858
Maya16 6.051 3.780 2.752 11.455 3.527 2.428 0.431 13.984 2.647 13.196 6.777 8.269 117.268 3.667 10.095 8.447 3.437 1.878 3.567 7.941 19.806 4.782 5.577 2.652 3.188 1.019
Maya17 5.798 0.932 0.820 9.961 2.695 1.755 0.276 17.415 2.092 14.056 6.427 2.262 122.620 5.753 12.177 6.389 1.840 1.828 4.841 8.196 24.197 3.751 4.757 2.078 4.970 0.737
Maya18 6.767 1.145 0.923 9.089 2.353 1.555 0.360 14.921 2.464 13.983 5.876 1.929 128.954 4.162 7.573 7.516 2.530 1.855 4.588 6.211 28.307 3.512 5.081 2.479 3.679 0.812
Maya19 5.579 1.140 1.196 10.118 2.508 2.004 0.300 18.350 2.287 15.841 5.746 2.550 122.212 3.481 8.743 6.670 2.475 2.639 4.828 7.944 24.780 3.668 5.706 2.226 4.438 1.191
Maya20 7.013 0.888 0.714 15.244 2.807 2.297 0.388 14.177 2.796 13.599 6.848 1.971 123.904 2.833 10.425 9.435 2.170 2.610 3.982 6.774 19.431 4.371 6.774 2.517 3.859 0.798
Maya21 6.680 1.194 0.658 11.319 3.493 2.396 0.313 16.939 2.566 13.057 6.420 1.964 120.579 4.767 10.071 8.645 2.542 2.471 4.478 6.806 23.347 4.040 5.143 2.960 4.976 0.800
Naxi1 9.503 1.957 1.236 12.675 3.893 2.184 0.553 58.128 2.300 44.527 8.021 3.558 15.984 17.427 11.598 9.633 3.262 2.323 17.098 9.864 4.832 5.353 7.302 3.442 10.957 1.014
Naxi2 8.284 1.931 1.714 12.894 3.270 1.742 0.627 60.071 2.060 43.468 8.977 3.471 13.279 22.431 11.246 8.789 2.984 1.582 15.463 10.554 5.912 6.778 7.379 2.516 10.289 0.911
Naxi3 5.245 1.179 0.753 9.314 2.371 1.626 0.321 34.586 1.511 28.208 6.364 2.144 8.751 111.095 6.126 5.273 2.170 1.367 11.067 6.274 3.841 4.061 5.181 1.970 7.150 0.673
Naxi4 9.142 1.844 1.642 13.056 2.931 2.208 0.524 62.416 2.315 44.618 7.996 3.359 13.107 23.939 10.691 8.235 3.324 1.557 17.029 9.241 4.263 5.714 6.979 2.712 8.680 1.097
Naxi5 8.486 1.592 1.261 14.726 3.383 2.218 0.494 53.899 2.091 39.211 7.911 3.527 14.206 29.000 9.760 9.055 3.099 1.746 18.403 9.607 3.783 5.767 8.730 3.373 12.182 1.114
Naxi6 4.797 0.987 0.882 8.294 1.864 1.741 0.307 36.651 1.352 25.918 5.802 2.080 8.442 115.298 7.084 5.246 1.669 1.089 12.670 6.368 3.037 2.968 4.946 1.767 6.627 0.735
Naxi7 7.226 1.656 1.301 11.496 3.165 1.726 0.494 62.077 2.227 42.690 7.372 2.785 13.207 33.690 9.906 7.373 3.326 1.952 16.514 10.210 3.683 4.972 6.354 2.238 9.799 1.182
Naxi8 8.874 1.799 1.190 14.136 3.320 2.102 0.557 55.063 2.594 48.815 8.306 3.359 12.451 21.470 9.094 8.362 2.525 2.083 18.057 11.529 4.932 6.216 8.036 2.798 9.982 0.975
Russian1 11.968 1.372 0.982 24.959 7.035 9.271 0.570 12.310 7.094 9.942 12.359 2.795 10.223 3.274 57.670 26.743 5.449 7.319 2.974 14.297 4.335 12.039 11.559 3.770 5.883 2.430
Russian2 13.830 1.322 0.871 28.070 8.171 7.587 0.446 10.583 8.275 9.141 10.879 2.486 9.577 3.598 58.332 22.256 4.724 7.791 2.817 15.426 3.081 9.706 14.606 5.781 7.120 2.146
Russian3 12.607 1.461 0.957 28.410 8.473 9.019 0.453 11.972 8.147 8.983 13.117 2.469 9.049 2.343 46.943 27.585 6.276 7.982 3.696 12.796 3.817 11.864 14.081 7.044 6.501 2.577
Russian4 12.165 1.641 0.928 23.897 8.119 8.514 0.513 14.408 6.673 14.387 14.564 2.804 10.915 3.587 54.136 21.898 6.586 4.760 5.320 14.440 3.633 10.531 10.756 4.101 6.957 2.389
Russian5 11.682 1.897 0.839 27.489 8.414 6.845 0.374 12.063 8.063 8.822 12.334 3.154 8.480 2.464 53.242 26.286 5.453 10.490 2.849 14.957 2.960 11.636 14.174 6.888 4.828 1.941
