Recipient Balochi BantuKenya BantuSouthAfrica Druze EastSicilian English Hadza Han Ireland Japanese Makrani Mandenka Maya Naxi Russian Sardinian Saudi Scottish She Sindhi Surui Syrian Turkish UAE Uygur Yemeni
BantuKenya7 6.253 38.301 32.962 15.301 4.876 1.729 6.601 10.510 1.715 7.379 8.991 60.000 5.290 2.427 7.247 9.806 7.343 1.740 2.961 8.151 1.708 9.140 5.613 7.368 2.799 2.410
BantuKenya8 5.858 46.068 35.704 15.660 3.195 1.389 6.330 9.251 1.919 7.441 9.365 60.606 5.524 2.093 6.422 9.191 5.230 1.852 2.734 7.647 1.978 6.371 5.054 5.970 3.160 2.612
BantuKenya9 5.136 54.034 38.147 13.923 3.723 1.418 5.557 7.927 1.655 6.582 10.591 64.228 4.805 2.225 5.665 6.979 4.138 1.306 2.150 7.097 1.549 6.386 4.493 3.395 2.789 2.723
BantuKenya10 4.601 90.741 31.942 9.410 1.959 1.114 6.434 7.588 1.187 5.742 8.056 54.238 3.864 1.824 4.659 5.723 3.539 1.307 1.983 5.295 1.203 4.127 3.447 4.210 1.805 2.625
BantuKenya11 5.185 67.695 36.190 13.131 3.299 1.503 5.646 8.042 1.395 7.130 8.274 57.108 4.236 2.071 5.633 7.534 3.634 1.387 2.125 6.226 1.478 5.031 4.426 3.470 2.466 4.309
BantuSouthAfrica1 5.042 49.835 45.823 11.652 2.518 0.985 5.395 9.498 1.768 6.013 12.017 63.484 5.088 2.200 5.496 6.070 4.752 1.311 2.371 6.297 1.340 5.903 4.451 4.178 2.538 2.598
BantuSouthAfrica2 5.626 54.311 42.024 11.014 2.754 1.652 4.577 8.097 1.534 6.877 12.182 61.435 4.532 2.309 6.043 6.801 4.173 1.514 2.113 6.032 1.343 5.155 4.319 4.777 2.222 5.205
BantuSouthAfrica3 5.161 50.474 44.255 13.343 3.101 1.278 6.624 7.610 1.647 5.862 6.685 67.317 4.614 1.877 5.903 6.155 4.657 1.273 2.061 6.007 1.466 4.981 4.611 4.574 2.939 4.150
BantuSouthAfrica4 5.575 50.214 48.088 11.359 2.805 1.206 10.103 7.564 1.663 7.354 9.644 56.856 4.570 2.015 5.174 6.973 4.720 1.437 2.805 6.137 1.245 4.856 4.103 7.183 2.492 2.479
BantuSouthAfrica5 5.136 47.285 38.738 11.692 2.548 1.715 6.955 8.644 1.385 7.097 7.910 71.577 5.086 2.318 5.906 6.630 4.461 1.684 2.467 6.616 1.416 5.485 4.198 4.885 2.568 4.222
BantuSouthAfrica6 5.477 44.868 39.382 12.523 3.398 1.361 4.987 9.431 1.890 7.837 8.235 65.108 5.934 2.265 5.316 7.621 4.179 1.279 2.516 5.843 1.762 5.903 4.016 11.126 3.009 3.358
BantuSouthAfrica7 5.049 49.054 40.110 12.400 2.828 1.329 5.962 8.432 1.566 6.246 9.513 69.927 4.978 1.795 5.808 6.532 4.362 1.272 2.098 5.674 1.445 4.856 4.183 7.738 3.041 2.426
BantuSouthAfrica8 5.370 40.961 42.935 12.566 2.831 1.419 4.773 7.472 1.509 7.362 8.488 73.475 4.852 2.686 5.574 7.071 4.970 1.336 3.099 7.196 2.118 6.487 4.402 4.371 2.450 2.849
Druze1 11.321 1.234 1.146 119.859 5.374 3.258 0.365 6.419 4.894 6.136 11.235 2.912 5.146 2.273 11.220 16.233 7.538 2.503 1.848 11.718 1.627 13.400 9.435 6.559 3.657 1.314
Druze2 7.214 0.851 0.425 171.161 4.031 2.071 0.250 5.224 2.343 4.158 8.819 1.406 3.231 0.884 8.087 10.891 3.843 2.532 1.163 9.084 0.968 7.427 6.362 2.241 2.634 1.322
Druze3 9.046 1.548 1.277 136.194 5.045 4.586 0.493 6.104 2.353 5.475 8.710 1.791 4.321 1.723 10.990 16.568 5.560 2.719 1.775 10.864 1.471 10.462 8.847 5.873 2.718 2.112
Druze4 6.389 1.207 0.540 173.215 2.691 2.142 0.290 5.558 1.795 4.552 6.552 1.869 4.280 1.003 8.601 9.798 6.528 2.028 1.515 7.060 0.917 7.240 6.176 3.063 2.096 1.516
Druze5 10.080 1.704 1.192 95.948 8.601 2.820 0.613 8.210 5.699 8.324 14.822 3.960 5.661 2.059 15.955 21.784 8.839 4.054 2.174 14.521 1.841 9.607 9.759 4.970 3.442 1.984
